Row,Price,Value
156,174.96,0.03
157,174.93,0.34
158,174.86,0.46
159,175.00,-0.34
160,174.67,-0.83
161,174.73,-0.72
162,174.79,0.19
163,174.92,0.98
164,174.93,0.42
165,174.86,0.28
166,174.97,-0.05
167,174.90,-0.05
168,174.91,0.19
169,174.99,-0.69
170,175.00,-0.66
171,174.88,-0.77
172,174.89,-0.04
173,174.85,-0.23
174,174.83,0.14
175,174.64,-0.27
176,174.56,0.74
177,174.53,-0.76
178,174.65,0.21
179,174.82,0.27
180,174.83,-0.2
181,174.85,-0.99
182,174.77,0.36
183,174.70,-0.62
184,174.60,0.9
185,174.62,0.81
186,174.63,0.07
187,174.49,0.1
188,174.53,0.5
189,174.43,-0.19
190,174.34,-0.88
191,174.18,-0.94
192,174.08,1
193,174.14,0.42
194,174.33,0.16
195,174.38,-0.51
196,174.12,0.17
197,173.84,-0.3
198,173.63,0.27
199,173.96,0.22
200,174.12,-0.38
201,173.80,0.78
202,173.59,-0.39
203,173.74,-0.01
204,174.02,0.31
205,174.09,0.68
206,174.35,-0.09
207,174.19,0.55
208,174.11,-0.74
209,174.15,0.92
210,174.50,-0.87
211,174.79,0.75
212,174.77,-0.46
213,174.74,-0.52
214,174.73,-1
215,174.77,-0.2
216,174.77,0.67
217,174.84,-0.64
218,174.87,0.92
219,174.96,-0.58
220,174.87,-0.12
221,174.81,-0.13
222,174.76,-0.46
223,174.71,0.49
224,174.59,0.14
225,174.54,-0.98
226,174.70,-0.12
227,174.70,-0.42
228,174.79,-0.8
229,174.71,0.72
230,174.68,-0.75
231,174.26,0.31
232,174.44,0.79
233,174.21,0.81
234,174.33,-0.79
235,173.55,0.62
236,173.58,-0.4
237,173.33,0.22
238,173.69,0.18
239,174.07,0.56
240,173.58,0.65
241,173.72,-0.68
242,173.47,0.63
243,173.57,-0.87
244,173.75,-0.89
245,173.55,-0.38
246,173.42,0.42
247,173.33,0.4
248,173.27,-0.67
249,173.20,0.97
250,173.03,-0.22
251,173.26,-0.03
252,173.10,-0.25
253,173.35,0.41
254,173.39,-0.19
255,173.38,-0.21
256,173.24,-0.75
257,173.17,-0.57
258,173.19,0.91
259,173.31,0.89
260,173.58,-0.15
261,173.71,-0.05
262,173.72,0.63
263,173.73,0.37
264,173.58,0.55
265,173.52,-0.94
266,173.66,0.5
267,173.72,-0.5
268,173.59,0.76
269,173.72,0.94
270,173.80,0.07
271,174.04,0.48
272,173.84,1
273,174.28,0.71
274,175.11,0.14
275,175.24,0.91
276,175.10,0.2
277,175.18,-0.06
278,175.19,-0.51
279,174.99,-0.99
280,175.13,-0.22
281,175.19,0.29
282,175.22,-0.76
283,175.31,0.47
284,175.27,0.29
285,175.24,0.13
286,175.28,0.8
287,175.11,-0.38
288,175.09,-0.94
289,174.99,0.53
290,174.99,-0.78
291,175.18,-0.49
292,175.21,0.77
293,175.21,0.65
294,175.21,-0.65
295,175.17,0.9
296,175.08,0.16
297,174.99,0.97
298,175.00,0.62
299,175.03,-0.34
300,175.03,0.35
301,175.05,0.67
302,175.18,-0.45
303,175.13,-0.49
304,175.13,-0.5
305,175.03,0.61
306,175.05,0.89
307,175.10,-0.69
308,175.14,0.12
309,175.11,-0.11
310,175.19,-0.03
311,175.14,-0.89
312,175.30,-0.56
313,176.04,-0.73
314,176.00,0.73
315,175.98,0.3
316,176.13,0.19
317,176.31,0.7
318,176.39,-0.47
319,176.73,-0.36
320,176.84,0.81
321,176.82,-0.56
322,176.53,-0.31
323,176.39,-0.71
324,176.70,-0.29
325,176.74,-0.98
326,176.89,-0.17
327,176.79,-0.81
328,176.66,0.8
329,176.79,-0.51
330,176.78,-0.21
331,176.84,-0.11
332,176.82,0.71
333,176.95,0.14
334,176.97,0.75
335,176.86,0.94
336,176.78,0.49
337,176.81,-0.89
338,176.95,0.82
339,177.01,-0.07
340,177.05,-0.77
341,177.23,0.67
342,177.27,-0.72
343,177.24,0.45
344,177.22,0.18
345,177.02,0.54
346,177.02,-0.79
347,176.95,-0.52
348,176.85,-0.08
349,176.90,0.68
350,177.04,0.34
351,176.88,0.37
352,178.19,-0.95
353,178.74,-0.58
354,178.96,0.27
355,179.06,-0.79
356,179.35,0.83
357,179.00,-0.31
358,178.43,0.1
359,178.82,-0.96
360,178.26,0.49
361,177.52,0.06
362,177.83,-0.2
363,177.91,-0.08
364,178.00,-0.27
365,177.56,-0.72
366,177.52,-0.75
367,177.71,-0.62
368,177.81,-0.51
369,177.56,-0.7
370,177.58,-0.36
371,177.58,-0.36
372,177.33,0.7
373,177.23,-0.62
374,177.43,-0.1
375,177.42,0.54
376,177.48,0.65
377,177.36,0.77
378,177.08,-0.38
379,177.09,0.96
380,177.05,-0.77
381,176.79,-0.73
382,176.50,-0.5
383,176.51,0.35
384,176.45,-0.92
385,176.79,0.88
386,176.48,-0.18
387,176.84,-0.85
388,176.71,0.05
389,176.75,-0.06
390,176.19,0.29
391,175.82,0.19
392,175.56,0.46
393,175.65,0.99
394,175.73,-0.3
395,175.91,-0.29
396,175.36,-0.91
397,175.41,0.24
398,175.75,0.93
399,175.68,0.37
400,175.71,-0.17
401,175.85,0.87
402,175.74,-0.8
403,175.66,-0.11
404,175.51,0.41
405,175.55,-0.15
406,175.64,0.35
407,175.67,0.68
408,175.68,0.73
409,175.76,0.45
410,175.77,-0.06
411,175.96,0.99
412,175.84,0.25
413,176.18,0.93
414,177.09,-0.08
415,177.38,0.18
416,176.99,0.5
417,176.75,0.25
418,177.11,0.41
419,177.29,-0.77
420,177.29,-0.95
421,177.77,-0.4
422,178.25,-0.9
423,178.47,-0.76
424,179.02,-0.88
425,178.82,0.34
426,178.62,-0.75
427,179.03,0.5
428,179.24,0.71
429,179.01,0.35
430,179.40,-0.53
431,179.29,0.82
432,179.70,1
433,178.61,-0.69
434,178.70,-0.75
435,179.17,-0.5
436,179.51,0.44
437,179.45,-0.11
438,179.15,-0.02
439,179.32,0.2
440,179.64,-0.46
441,179.35,-0.02
442,179.32,0.17
443,179.21,-0.83
444,179.29,0.45
445,179.31,-0.11
446,179.37,0.42
447,179.42,0.81
448,179.61,-0.72
449,179.60,0.56
450,179.70,-0.47
451,179.70,-0.44
452,179.55,-0.38
453,179.48,-0.16
454,179.62,0.27
455,179.75,-0.47
456,179.93,-0.41
457,180.00,0.77
458,179.92,0.86
459,179.97,-0.13
460,179.97,-0.56
461,179.78,0.08
462,179.94,0.61
463,179.76,0.91
464,179.79,0.37
465,179.42,-0.07
466,179.25,0.47
467,179.37,0.49
468,179.26,0.6
469,179.52,-0.25
470,179.03,-0.98
471,178.78,-0.41
472,178.44,0.35
473,178.00,-0.07
474,178.11,0.01
475,178.13,-0.14
476,177.78,-0.85
477,177.84,-0.8
478,177.88,0.52
479,177.90,0.32
480,178.27,0.73
481,178.34,-0.23
482,178.36,0.02
483,178.04,-0.86
484,178.34,0.55
485,178.32,-0.94
486,178.39,-0.01
487,178.46,-0.71
488,178.58,-1
489,178.44,-0.08
490,178.63,-0.4
491,178.67,-0.43
492,178.58,-0.75
493,178.46,0.78
494,178.31,0.28
495,178.34,0.41
496,178.45,0.77
497,178.52,-0.61
498,178.45,-0.95
499,178.39,0.7
500,178.35,0.13
501,178.46,0.84
502,178.34,-0.33
503,178.52,0.17
504,178.51,0.3
505,178.12,-0.8
506,178.12,0.85
507,178.44,-0.66
508,177.09,0.21
509,177.75,-0.73
510,177.37,0.2
511,177.30,0.1
512,177.27,-0.61
513,177.17,0.64
514,177.23,0.99
515,177.35,-0.98
516,177.00,0.04
517,177.15,-0.92
518,177.12,0.87
519,176.99,-0.66
520,177.07,0.46
521,177.06,-0.87
522,177.14,-0.85
523,177.19,-0.71
524,177.47,0.22
525,177.25,-0.49
526,177.23,0.8
527,177.39,0.87
528,177.35,0.36
529,177.37,-0.06
530,177.59,0.23
531,177.40,-0.38
532,177.49,0.03
533,177.54,0.01
534,177.44,-0.23
535,177.35,-0.45
536,177.14,0.26
537,176.92,0.76
538,176.98,-0.61
539,177.14,0.18
540,177.00,0.38
541,176.91,0.88
542,176.99,-0.43
543,176.95,0.33
544,176.84,0.82
545,177.04,-1
546,177.00,0.71
547,177.61,0.84
548,178.13,0.07
549,177.98,0.28
550,177.90,0.35
551,178.16,0.05
552,178.09,-0.81
553,178.16,-0.91
554,178.62,-0.3
555,178.58,-0.2
556,178.66,-0.05
557,178.62,-0.2
558,178.77,-0.94
559,178.92,0.24
560,178.84,-0.77
561,178.49,0.86
562,178.65,0.45
563,178.71,-0.09
564,178.78,0.69
565,178.88,-0.48
566,178.89,-0.74
567,178.80,0.02
568,179.06,-0.17
569,178.96,-0.9
570,179.10,-0.58
571,179.19,-0.66
572,179.19,-0.52
573,179.31,-0.43
574,179.31,-0.3
575,177.81,0.71
576,178.34,-0.61
577,178.37,0.51
578,178.04,-0.81
579,177.05,-0.23
580,177.43,0.03
581,177.33,0.56
582,177.69,-0.85
583,177.43,-0.55
584,177.39,0.69
585,176.97,-0.74
586,176.20,-0.42
587,175.12,-0.11
588,175.71,0.16
589,175.63,0.81
590,175.53,0.95
591,175.25,0.76
592,175.19,0.86
593,175.21,-0.5
594,174.91,0.14
595,174.94,-0.25
596,175.01,0.11
597,174.87,-0.79
598,174.91,0.91
599,174.85,0.75
600,175.00,-0.28
601,174.93,0.72
602,175.17,0.78
603,174.83,0.49
604,174.51,-0.62
605,174.70,0.19
606,174.39,-0.84
607,173.43,0.68
608,173.45,0.85
609,173.99,0.09
610,174.22,0.63
611,174.44,-0.23
612,174.18,0.84
613,174.03,0.79
614,174.22,0.46
615,174.29,0.35
616,174.07,-0.38
617,174.62,0.2
618,174.33,-0.52
619,174.31,-0.63
620,173.93,0.97
621,174.26,-0.93
622,174.10,0.13
623,174.17,0.05
624,174.22,0.43
625,174.64,-0.93
626,174.32,-0.84
627,173.06,-0.38
628,172.69,0.99
629,172.91,-0.36
630,172.78,-0.94
631,173.01,-0.63
632,172.97,0.63
633,173.06,0.78
634,173.23,-0.24
635,173.24,-0.5
636,173.30,0.48
637,173.50,0.02
638,173.52,0.43
639,173.52,0.77
640,173.57,-0.07
641,173.56,0.3
642,173.25,-0.5
643,172.99,0.24
644,172.91,0.47
645,172.65,0.14
646,172.56,0.25
647,172.77,-0.4
648,172.50,0.06
649,172.58,-0.63
650,172.31,0.02
651,172.32,-0.44
652,172.01,0.99
653,171.83,-0.56
654,171.56,-0.84
655,171.01,0.53
656,171.02,-0.16
657,171.21,0.3
658,170.86,-0.81
659,170.85,0.23
660,170.95,-1
661,171.01,0.84
662,170.79,-0.7
663,171.13,0.21
664,171.13,-0.53
665,171.51,-0.77
666,171.52,-0.16
667,170.99,0.46
668,170.52,-0.82
669,170.69,-0.03
670,170.58,-0.26
671,170.76,-0.73
672,171.30,-0.09
673,171.12,-0.71
674,171.16,-0.07
675,171.17,0.89
676,170.91,0.08
677,170.95,0
678,171.09,-0.52
679,170.89,-0.69
680,170.75,-0.35
681,170.72,-0.01
682,170.62,0.57
683,170.27,0.79
684,170.24,-0.87
685,170.18,0.4
686,170.53,0.28
687,170.79,0.12
688,170.68,-0.7
689,170.82,0.11
690,171.08,0.51
691,171.36,0.82
692,171.43,0.51
693,170.91,0.05
694,171.03,-0.9
695,171.17,0.99
696,171.05,-0.18
697,171.07,0.72
698,171.28,0.68
699,171.07,-0.68
700,171.01,0.54
701,171.02,0.54
702,171.40,0.74
703,167.91,-0.95
704,168.58,-0.21
705,168.66,-0.67
706,168.17,-0.97
707,167.96,-0.6
708,167.96,0.11
709,167.21,-0.1
710,168.02,0.12
711,168.32,0.9
712,168.13,-0.2
713,168.67,1
714,168.96,0.19
715,168.91,0.96
716,168.89,0.3
717,169.20,-0.09
718,168.84,0.66
719,168.84,-0.27
720,168.53,0.02
721,168.47,-0.58
722,168.60,-0.6
723,168.76,-0.98
724,168.85,-0.69
725,168.87,0.65
726,168.89,0.7
727,168.79,0.28
728,168.52,-0.1
729,168.51,0.05
730,168.28,-0.57
731,168.30,-0.54
732,168.13,0.57
733,167.85,-0.5
734,168.08,0.22
735,168.21,-0.26
736,168.41,0.65
737,168.48,-0.18
738,168.13,-0.32
739,168.11,0.35
740,167.82,0.26
741,167.96,-0.53
742,166.02,-0.34
743,166.29,0.05
744,166.72,-0.35
745,166.41,-0.36
746,166.63,0.02
747,167.18,0.49
748,167.02,0.64
749,166.44,0.42
750,167.09,0.8
751,167.10,-0.62
752,167.19,0.22
753,166.72,0.66
754,166.29,0.59
755,166.17,-0.9
756,165.89,-0.3
757,166.18,0.96
758,166.10,0.75
759,166.15,0.83
760,166.03,-0.01
761,165.99,0.58
762,165.99,0.18
763,165.76,0.46
764,165.34,0.23
765,165.24,0.05
766,165.65,0.2
767,165.76,0.78
768,166.04,0.71
769,166.30,0.61
770,166.45,-0.89
771,166.38,-0.03
772,166.22,0.11
773,166.41,0.05
774,166.39,-0.47
775,166.39,-0.66
776,166.63,0.41
777,166.75,0.23
778,166.86,-0.18
779,166.57,0.61
780,166.94,-0.15
781,167.77,-0.46
782,168.12,0.1
783,167.55,-0.64
784,167.67,-0.99
785,167.96,0.83
786,167.94,-0.16
787,167.68,0.78
788,167.86,0.33
789,167.49,0.3
790,167.46,0.23
791,167.27,-0.45
792,166.90,0.41
793,167.26,-0.97
794,166.98,0.89
795,166.79,-0.64
796,167.03,0.42
797,167.19,-0.3
798,167.04,0.86
799,167.07,0.8
800,166.85,-0.16
801,166.72,0.99
802,166.86,-0.57
803,166.90,0.35
804,167.06,0.41
805,167.02,-0.95
806,167.04,-0.08
807,167.01,0.54
808,167.04,0.18
809,166.88,-0.72
810,166.83,0.13
811,166.87,-0.34
812,166.87,-0.84
813,166.89,-0.1
814,167.00,0.03
815,167.20,0.89
816,167.44,0.43
817,167.37,-0.88
818,167.53,-0.46
819,167.47,0.89
820,167.13,-0.16
821,167.53,0.79
822,167.82,0.72
823,167.47,-0.38
824,167.56,-0.39
825,167.23,-0.13
826,167.12,0.89
827,167.37,-0.43
828,167.14,-0.14
829,167.03,-0.25
830,167.31,0.42
831,167.18,-0.63
832,167.40,-0.75
833,167.68,-0.88
834,168.01,-0.44
835,167.85,0.61
836,168.15,0.43
837,168.31,-0.22
838,168.58,-0.17
839,168.15,-0.41
840,167.81,-0.68
841,167.99,-0.04
842,167.84,0.38
843,167.91,0.59
844,167.72,-0.25
845,167.60,0.56
846,167.46,0.74
847,167.43,0.84
848,167.37,0.8
849,167.53,-0.59
850,167.64,-0.58
851,167.71,-0.39
852,168.11,0.04
853,167.90,-0.7
854,167.63,-0.02
855,167.13,-0.16
856,167.34,-0.63
857,167.39,0.4
858,167.84,-0.2
859,164.78,-0.07
860,163.73,0.31
861,163.61,-0.34
862,163.92,0.87
863,163.65,-0.3
864,163.68,-0.41
865,164.02,0.39
866,163.68,-0.49
867,163.65,-0.64
868,163.65,0.65
869,163.17,0.63
870,163.16,-0.44
871,163.25,-0.06
872,163.36,-0.12
873,162.94,1
874,162.72,-0.26
875,163.02,0.51
876,163.00,-0.46
877,162.91,-0.82
878,162.64,-0.61
879,162.71,-0.02
880,162.38,0.6
881,162.20,0.33
882,161.87,0.57
883,161.94,-0.01
884,162.05,0.68
885,162.37,-0.12
886,161.88,-0.5
887,161.24,-0.8
888,161.27,-0.22
889,162.02,0.99
890,161.83,-0.46
891,161.63,-0.65
892,161.01,-0.2
893,161.56,-0.5
894,161.43,-0.8
895,161.14,-0.36
896,160.57,-0.9
897,160.43,0.89
898,160.50,-0.08
899,161.85,-0.72
900,163.08,0.34
901,163.73,-0.89
902,163.12,0.78
903,163.51,-0.69
904,162.94,0.75
905,163.14,0.87
906,163.36,-0.31
907,163.50,0.11
908,162.93,0.21
909,162.67,-1
910,162.27,0.58
911,161.23,0.62
912,161.65,0.97
913,161.06,-0.6
914,160.86,0.89
915,161.11,0.66
916,161.18,-0.51
917,161.86,0.79
918,161.54,-0.69
919,161.00,-0.98
920,160.90,-0.71
921,161.08,-0.37
922,161.01,-0.79
923,161.17,-0.68
924,162.42,-0.45
925,161.81,-0.36
926,161.54,0.5
927,161.29,0.37
928,161.18,-0.39
929,161.16,-0.74
930,160.62,-0.25
931,158.66,-0.51
932,158.60,-0.35
933,160.12,-0.98
934,158.68,0.32
935,157.06,0.36
936,156.58,0.52
937,158.87,0.88
938,158.92,-0.51
939,158.93,0.14
940,159.30,0.84
941,158.73,-0.29
942,157.45,-0.77
943,157.19,0.52
944,157.64,0.97
945,157.83,0.98
946,157.12,0.78
947,157.59,-0.83
948,157.69,0.7
949,157.54,0.62
950,158.37,-0.32
951,158.53,0.4
952,159.73,0.89
953,159.75,-0.06
954,160.42,0.5
955,160.88,0.18
956,160.09,-0.87
957,160.50,0.04
958,159.47,-0.22
959,160.37,0.55
960,160.47,0.49
961,160.02,0.25
962,159.46,0.68
963,159.30,0.09
964,159.11,-0.83
965,159.03,-0.89
966,158.87,-0.08
967,159.99,0.31
968,160.78,-0.89
969,161.78,-0.99
970,162.84,-0.48
971,162.09,-0.19
972,162.81,0.25
973,163.36,-0.45
974,162.20,0.27
975,163.12,0
976,161.25,0.8
977,161.25,-0.31
978,161.93,0.15
979,162.27,-0.21
980,162.27,-0.51
981,161.74,-0.28
982,161.83,-0.57
983,162.25,0.49
984,161.99,0.95
985,162.30,-0.68
986,161.82,0.5
987,161.61,-0.63
988,161.50,0.75
989,161.64,0.82
990,161.66,-0.12
991,161.67,0.26
992,161.39,0.67
993,161.42,0.75
994,160.85,0.28
995,160.21,0.75
996,160.49,-0.66
997,160.13,-0.77
998,160.50,-0.49
999,160.50,0.18
1000,161.00,0.38
1001,160.95,-0.43
1002,161.15,-0.73
1003,160.68,0.75
1004,161.21,-0.02
1005,161.39,0.26
1006,160.98,0.85
1007,160.46,-0.61
1008,160.49,0.02
1009,160.44,0.86
1010,160.98,-0.36
1011,161.06,-0.61
1012,160.98,0.42
1013,160.40,0.96
1014,159.52,-0.12
1015,160.38,0.18
1016,160.28,0.49
1017,160.16,0.91
1018,160.48,-0.44
1019,160.52,0.47
1020,159.81,0.13
1021,160.14,-0.95
1022,160.14,0.56
1023,160.09,-0.62
1024,160.20,-0.23
1025,159.95,0.89
1026,159.80,0.38
1027,160.14,0.09
1028,160.10,0.41
1029,160.42,0.02
1030,159.99,0.45
1031,159.74,0.09
1032,159.37,-0.64
1033,159.44,0.94
1034,158.97,-0.5
1035,158.81,-0.35
1036,159.20,0.99
1037,159.52,0.67
1038,158.75,0.54
1039,159.70,-0.91
1040,159.56,-0.29
1041,159.86,0.38
1042,159.66,0.95
1043,159.88,0.46
1044,159.24,-0.87
1045,159.25,0.16
1046,159.06,0.03
1047,158.83,0.31
1048,159.01,-0.09
1049,158.73,0
1050,158.80,-0.49
1051,157.83,-0.47
1052,157.43,-0.11
1053,155.30,-0.49
1054,155.91,-0.45
1055,156.99,0.9
1056,157.16,0.33
1057,157.22,0.99
1058,157.57,-0.09
1059,157.33,0.4
1060,156.49,0.61
1061,155.14,-1
1062,155.89,-0.32
1063,155.89,0.02
1064,155.41,-0.04
1065,155.45,-0.67
1066,155.83,-0.69
1067,155.09,0.13
1068,154.95,-0.25
1069,154.10,-0.79
1070,154.04,-0.8
1071,153.73,0.43
1072,153.70,0.16
1073,151.91,0.72
1074,153.94,-0.52
1075,152.25,0.17
1076,152.73,0.42
1077,151.41,-0.53
1078,150.70,-0.14
1079,151.44,1
1080,151.76,-0.47
1081,153.19,0.55
1082,154.61,-0.44
1083,153.90,-0.46
1084,154.65,-0.91
1085,154.80,0.62
1086,154.74,0.64
1087,153.97,-0.82
1088,154.60,-0.45
1089,154.94,0.77
1090,155.36,0.66
1091,156.41,-0.8
1092,156.23,-0.35
1093,158.68,-0.65
1094,159.39,-0.58
1095,159.58,0.32
1096,159.88,-0.74
1097,159.33,-0.67
1098,159.43,-0.43
1099,160.22,-0.61
1100,160.50,0.14
1101,160.78,0.29
1102,160.83,-0.06
1103,161.36,-0.92
1104,161.20,-0.97
1105,161.59,-0.22
1106,161.67,0.67
1107,162.09,0.34
1108,162.22,0.65
1109,162.53,-0.88
1110,162.64,-0.66
1111,162.70,-0.4
1112,162.23,-0.33
1113,162.53,0.77
1114,162.02,-0.62
1115,162.09,0.75
1116,162.63,0.13
1117,162.64,-0.66
1118,162.49,0.1
1119,162.85,-0.06
1120,162.61,-0.15
1121,162.56,0.54
1122,162.94,0.67
1123,162.98,-0.54
1124,163.02,0.6
1125,163.10,0.19
1126,163.14,0.49
1127,163.64,-0.51
1128,163.57,0.55
1129,162.95,-0.71
1130,162.66,0.64
1131,162.76,0.72
1132,163.17,0.19
1133,162.26,0.92
1134,162.50,0.27
1135,162.90,-0.62
1136,162.61,0.33
1137,162.77,0.14
1138,162.92,0.83
1139,163.22,-0.95
1140,163.63,0.91
1141,163.19,-0.02
1142,163.48,0.25
1143,162.96,-0.15
1144,162.78,0.71
1145,162.81,0.87
1146,162.97,-0.31
1147,162.86,0.47
1148,162.92,0.94
1149,162.86,-0.67
1150,162.59,-0.36
1151,162.79,0.01
1152,162.77,0.99
1153,163.03,-0.79
1154,163.52,-0.51
1155,163.71,-0.06
1156,163.94,-0.01
1157,163.60,-0.85
1158,163.43,-0.9
1159,163.80,0
1160,163.98,0.66
1161,164.11,0.03
1162,163.92,-0.02
1163,164.10,-0.72
1164,164.30,-0.56
1165,164.15,0.12
1166,164.35,0.68
1167,164.50,0.27
1168,164.71,-0.37
1169,164.38,0.97
1170,164.34,-0.74
1171,163.97,-0.6
1172,163.94,0.35
1173,163.65,0.82
1174,164.11,-0.55
1175,164.36,0.57
1176,164.86,0.09
1177,165.21,0.77
1178,165.21,0.91
1179,165.34,0.14
1180,165.07,-0.46
1181,165.36,0.36
1182,165.53,-0.93
1183,165.67,0.52
1184,165.43,-0.74
1185,165.19,0.77
1186,165.38,-0.09
1187,165.05,0.65
1188,165.33,-0.74
1189,165.66,-0.22
1190,165.51,0.26
1191,165.89,-0.87
1192,166.01,0.08
1193,165.74,-0.13
1194,165.70,0.79
1195,165.99,0.82
1196,166.00,0.63
1197,166.08,0.86
1198,166.31,-0.03
1199,166.36,0.42
1200,166.47,0.55
1201,166.98,-0.55
1202,167.12,-0.1
1203,167.21,0.97
1204,167.31,0.25
1205,167.36,0.61
1206,167.21,-0.54
1207,167.33,-0.79
1208,167.38,-0.97
1209,167.35,0.44
1210,170.27,-0.22
1211,171.25,-0.56
1212,171.37,-0.27
1213,170.89,0.67
1214,170.80,0
1215,171.39,-0.11
1216,170.47,0.54
1217,170.26,-0.02
1218,169.67,-0.2
1219,170.14,-0.36
1220,170.20,0.77
1221,171.10,-0.88
1222,171.23,-0.28
1223,171.45,-0.87
1224,171.34,-0.97
1225,171.26,-0.42
1226,171.34,0.87
1227,171.62,0.64
1228,171.98,0.38
1229,171.84,0.86
1230,172.01,-0.98
1231,172.44,0.33
1232,172.65,0.77
1233,171.95,-0.44
1234,171.69,-0.87
1235,172.12,-0.33
1236,172.01,0.25
1237,172.52,0.7
1238,172.63,-0.24
1239,172.91,0.5
1240,172.83,-0.44
1241,172.92,0.11
1242,172.84,0.26
1243,172.89,0.59
1244,172.82,0.63
1245,172.75,-0.98
1246,172.70,-0.07
1247,172.65,0.65
1248,173.00,0.82
1249,173.22,0.15
1250,173.29,0.19
1251,173.27,-0.7
1252,173.06,-0.66
1253,173.44,0.43
1254,174.01,-0.99
1255,174.37,-0.73
1256,174.35,-0.59
1257,174.01,-0.29
1258,174.54,0.09
1259,174.44,0.42
1260,174.24,0.1
1261,174.45,0.75
1262,173.92,0.7
1263,174.32,-0.04
1264,174.26,-0.52
1265,174.38,0.65
1266,174.39,0.32
1267,174.59,-0.38
1268,174.54,0.83
1269,174.29,0.2
1270,174.17,0.59
1271,173.12,-0.24
1272,173.30,0.62
1273,173.42,0.24
1274,173.29,0.82
1275,173.09,0.53
1276,173.14,-0.81
1277,172.97,0.67
1278,173.25,0.86
1279,173.54,-0.05
1280,173.29,-0.46
1281,173.39,-0.82
1282,173.68,0.03
1283,173.48,0.09
1284,173.60,0.94
1285,173.16,0.96
1286,173.02,-0.93
1287,172.45,-0.02
1288,172.66,-0.38
1289,172.81,-0.26
1290,172.86,-0.25
1291,173.32,0.68
1292,173.75,-0.44
1293,173.33,0.54
1294,172.99,-0.91
1295,173.52,-0.49
1296,173.43,0.96
1297,173.76,0.22
1298,173.57,0.94
1299,174.06,-0.1
1300,173.77,0.93
1301,173.93,-0.77
1302,174.08,-0.51
1303,174.04,0.01
1304,173.77,-0.73
1305,174.03,0.64
1306,173.89,0.16
1307,173.95,-0.1
